derived_id,startup_id,metric,value,unit,period_from,period_to,inputs,formula,value_type,notes
D0067,S0226,valuation_to_revenue,57.39,x,FY25,FY25,"latest disclosed valuation ₹1,670,000,000 Cr () / FY25 rev ₹29,100,000.0 Cr",valuation/revenue,DERIVED,valuation date vs FY period shown in inputs — check alignment
D0068,S0228,revenue_cagr,21.5,%/yr,FY24,FY25,FY24 ₹430.6 Cr → FY25 ₹523.1 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0069,S0241,revenue_cagr,-8.71,%/yr,FY24,FY26,FY24 ₹360.0 Cr → FY26 ₹300.0 Cr,((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0070,S0255,revenue_cagr,31.5,%/yr,FY24,FY25,FY24 ₹93.8 Cr → FY25 ₹123.4 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0071,S0255,revenue_per_employee,2889929.74,INR/yr,FY25,FY25,FY25 rev ₹123.4 Cr / employees=427 (as_of 2025-08-31),rev×1e7/headcount,DERIVED,PERIODS MAY NOT ALIGN (headcount is point-in-time) — indicative only
D0072,S0258,revenue_cagr,64.23,%/yr,FY24,FY25,"FY24 ₹1,261.0 Cr → FY25 ₹2,071.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0073,S0278,revenue_cagr,55.95,%/yr,FY23,FY26,FY23 ₹97.0 Cr → FY26 ₹367.9 Cr,((v2/v1)^(1/3))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0074,S0278,valuation_to_revenue,40.77,x,FY26,FY26,"latest disclosed valuation ₹15,000 Cr () / FY26 rev ₹367.9 Cr",valuation/revenue,DERIVED,valuation date vs FY period shown in inputs — check alignment
D0075,S0283,revenue_cagr,30.12,%/yr,FY24,FY26,"FY24 ₹867.6 Cr → FY26 ₹1,469.0 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0076,S0296,revenue_cagr,87.16,%/yr,FY23,FY26,FY23 ₹27.0 Cr → FY26 ₹177.0 Cr,((v2/v1)^(1/3))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0077,S0303,revenue_cagr,20.56,%/yr,FY22,FY26,FY22 ₹142.0 Cr → FY26 ₹300.0 Cr,((v2/v1)^(1/4))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0078,S0303,funding_to_revenue,1.0,x,FY26,FY26,cumulative disclosed equity ₹300 Cr / FY26 revenue ₹300.0 Cr,cumFunding/revenue,DERIVED,INR rounds only (USD/mixed excluded to avoid fx assumptions)
D0079,S0310,revenue_cagr,-54.83,%/yr,FY24,FY26,"FY24 ₹6,917.0 Cr → FY26 ₹1,411.0 Cr",((v2/v1)^(1/2))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0080,S0316,valuation_to_revenue,5.0,x,FY24,FY24,latest disclosed valuation ₹850 Cr () / FY24 rev ₹170.0 Cr,valuation/revenue,DERIVED,valuation date vs FY period shown in inputs — check alignment
D0081,S0322,revenue_cagr,73.48,%/yr,FY24,FY25,"FY24 ₹743.6 Cr → FY25 ₹1,290.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0082,S0367,revenue_cagr,34.98,%/yr,FY23,FY24,"FY23 ₹832.0 Cr → FY24 ₹1,123.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0083,S0367,valuation_to_revenue,6.59,x,FY24,FY24,"latest disclosed valuation ₹7,400 Cr () / FY24 rev ₹1,123.0 Cr",valuation/revenue,DERIVED,valuation date vs FY period shown in inputs — check alignment
